연번,품명,HS부호,품명번호,표준품명_한글,표준품명_영문,규격번호,규격순번,필수규격_한글,필수규격_영문,규격값,세부분류내용,비고,시작일자,만료일자,용도구분
77,훈제한 것,306171010,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
78,냉동새우살,306171090,1,기타,Other peeled shrimps,1,1,양식여부,Farming,N,자연산이면,,2012-01-01,2023-12-31,
79,훈제한 것,306179010,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
80,훈제한 것,306191000,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
81,활가재,306320000,1,활가재,Live Lobster,,,,,,,,2017-02-13,2023-12-31,기타세번
82,꽂게,306331000,1,활꽃게,Live swimming crab,1,1,양식여부,Farming,N,자연산이면,,2017-02-03,2023-12-31,
83,대게,306332000,1,대게(산 것),Live snow crab,1,1,암수구분,sex,F,암컷,,2017-02-03,2023-12-31,
84,기타,306339000,1,"왕게(산 것, Red)",Live king crab(Red),1,1,암수구분,Sex,F,암컷,,2017-02-03,2023-12-31,
85,건조한 것,306951020,1,건새우,Dried shrimp,1,1,파품혼입율,Defectiveness,H,10%이상,,2017-02-03,2023-12-31,
86,염장이나 염수장한 것,306951030,1,염장새우(새뱅이새우),Salted freshwater shrimp,1,1,이물,Defectiveness,H,10%이상,,2017-02-03,2023-12-31,
87,훈제한 것,306951040,1,훈제한 것,Smoked,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
88,건조한 것,306959020,1,건새우,Dried shrimp,1,1,파품혼입율,Defectiveness,H,10%이상,,2017-02-03,2023-12-31,
89,염장새우,306959030,1,염장새우(새뱅이새우),Salted freshwater shrimp,1,1,이물,Defectiveness,H,10%이상,,2017-01-01,2023-12-31,
90,훈제한 것,306959040,1,훈제한 것,Smoked,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
91,훈제한 것,306994000,1,훈제한 것,Smoked,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
92,훈제한 것,307194000,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
93,가리비,307211000,1,활가리비(국자가리비),Live japanese baking scallop,,,,,,,,2022-01-01,2023-12-31,유통이력
94,기타가리비,307219000,1,활가리비(해만가리비),Live bay scallop,,,,,,,,2022-01-01,2023-12-31,유통이력
95,냉동가리비,307221000,1,냉동가리비(국자가리비),Frozen japanese baking scallop,,,,,,,,2022-01-01,2023-12-31,유통이력
96,냉동기타가리비,307229000,1,냉동가리비(기타가리비),Frozen other scallop,,,,,,,,2022-01-01,2023-12-31,유통이력
97,갑오징어,307494010,1,갑오징어,Cuttle fish,1,1,,,1, 오징어,,2017-02-24,2023-12-31,FTA세율
98,기타,307494090,1,기타,Other,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
99,활낙지,307511000,1,활낙지,Live poulp squid,1,1,마리당중량,size,L,200g~300g미만,,2007-06-15,2023-12-31,
100,문어,307521000,1,냉동문어(원형),Frozen octopus(round),1,1,냉동방법,Freezing,B,블록냉동,,2017-02-03,2023-12-31,
101,낙지,307522000,1,냉동낙지,Frozen Poulp Squid(dead),1,1,마리당 평균중량,size,L,200g~300g미만,,2017-02-03,2023-12-31,
102,주꾸미,307523000,1,냉동주꾸미(원형),Frozen webfoot octopus(round),1,1,냉동방법,Freezing,B,블록냉동,,2017-02-03,2023-12-31,
103,염장낙지,307599000,1,염장낙지,Salted Poulp Squid,,,,,,,,2014-12-02,2023-12-31,기타세번
104,피조개,307712090,1,기타 활피조개,Other live ark shell,1,1,고르기,Equality,H,10%미만,,2012-01-01,2023-12-31,
105,바지락,307714000,1,신선냉장바지락,"Baby clams, fresh or chilled",1,1,채취방법,Collected,M,손으로 채취,,2012-01-01,2023-12-31,
106,활참꼬막,307719000,1,활참꼬막,Live Haigai (Tegillarca granosa),,,,,,,,2013-09-23,2023-12-31,기타세번
107,바지락,307723000,1,냉동바지락,Frozen baby clams,1,1,고르기,Equality,H,10%미만,,2017-02-03,2023-12-31,
108,염장바지락,307793020,1,염장바지락,Salted baby clam meat,1,1,내장 잭깔,Color,BL,검은색,,2012-01-01,2023-12-31,
109,기타,307794090,1,기타,Other,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
110,훈제한 것,307873000,1,훈제한 것,Smoked,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
111,훈제한 것,307883000,1,훈제한 것,Smoked,1,1,,,1, 밀폐용기에 넣은 것,,2017-02-24,2023-12-31,FTA세율
112,재첩,307914000,1,기타재첩,Other Marsh clams,1,1,색,Color,B,검정색,,2012-01-01,2023-12-31,
113,개아지살,307921000,1,기타 냉동개아지살,Frozen adductors of other shell fish,1,1,색도,Color,A,살구색,,2017-02-03,2023-12-31,
114,기타,307994900,1,기타,Other,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
115,해삼,308110000,1,신선 냉장해삼(기타),"Other sea cucumber, fresh or chilled",1,1,마리당 길이,size,L,15cm~20cm미만,,2012-01-01,2023-12-31,
116,건해삼(자숙하지 않은 것),308192000,1,자숙하지 않은 건해삼(기타),Other dried sea cucumber,1,1,마리당 길이,size,L,10cm~15cm미만,,2012-01-01,2023-12-31,
117,훈제한 것,308194000,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
118,훈제한 것,308294000,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
119,염장해파리,308304000,1,염장해파리(다리),Salted jelly fish(leg),1,1,몸체직경,Size,L,25cm 이상,,2012-01-01,2023-12-31,
120,훈제한 것,308305000,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
121,활우렁쉥이,308901019,1,활우렁쉥이,Live Seasquirts,,,,,,,,2018-08-01,2023-12-31,유통이력
122,활개불,308901090,1,활개불,Live Urechis Unicinctus,,,,,,,,2014-12-02,2023-12-31,기타세번
123,훈제한 것,308905000,1,훈제한 것,Smoked,1,1,포장,package,1, 밀폐용기에 넣은 것,,2022-01-02,2023-12-31,FTA세율
124,초고온처리 크림,401509000,1,초고온처리 크림,UHT Cream,,,,,,,,2013-09-23,2023-12-31,기타세번
125,그 밖의 발효되거나 산성화된 밀크와 크림,403909000,1,그 밖의 발효되거나 산성화된 밀크와 크림,Other fermented or acidified milk and cream,1,1,,,1, 향 또는 과실 및 견과류나 코코아를 첨가한 것,,2017-02-24,2023-12-31,FTA세율
126,밀크 미네랄,404102199,1,밀크 미네랄,Milk mineral,,,,,,,,2014-12-02,2023-12-31,기타세번
127,밀크지,405900000,1,밀크지,Milk Fat,,,,,,,,2014-12-02,2023-12-31,기타세번
128,쿼그치즈,406101090,1,쿼그치즈,Quarg Cheese,,,,,,,,2013-09-23,2023-12-31,기타세번
129,머리카락,501000000,1,머리카락,Human hair,,,,,,,,2014-12-02,2023-12-31,기타세번
130,냉장 돼지장,504001090,1,냉장 돼지장,Chilled Pork Intestine,,,,,,,,2014-12-02,2023-12-31,기타세번
131,소의 방광,504002000,1,소의 신선 또는 냉장 방광,Bovine Fresh or chilled bladders,1,1,광우병발병사실,BSE,N,아니오,,2008-07-15,2023-12-31,
132,소의 위,504003000,1,신선 또는 냉장 위,Fresh or chilled stomachs,1,1,광우병발병사실,BSE,N,아니오,,2008-07-14,2023-12-31,
133,기타,506901090,1,기타,Other,1,1,,,1, 호랑이의 것,,2017-02-24,2023-12-31,FTA세율
134,기타,507109000,1,기타,Other,1,1,,,1, 서각(Rhinoceros horns),,2017-02-24,2023-12-31,FTA세율
135,녹용전지,507901110,1,매화록녹용전지(건조),Dried manchurian velvet antler(whole),1,1,밑가지수,bottomtynes,1,1개,,2008-01-09,2023-12-31,
136,녹용절편,507901190,1,매화록녹용절편(건조),Dried manchurian velvet antler(sliced),1,1,부위,part,B,하대,,2008-01-09,2023-12-31,
137,녹각,507901200,1,매화록녹각,manchurian hard antler,1,1,백화여부,bleached,N,백색으로 변하지 않은 것,,2008-01-09,2023-12-31,
138,기타,507902090,1,기타,Other,1,1,,,1, 천산갑(穿山甲),,2017-02-24,2023-12-31,FTA세율
139,가리비 패각,508002090,1,가리비 패각,Scallop Shell,,,,,,,,2014-12-02,2023-12-31,기타세번
140,오징어뼈,508009000,1,오징어뼈,Squid cartilage,,,,,,,,2014-12-02,2023-12-31,기타세번
141,기타,511911090,1,기타(인도네시아산_아세안 FTA 적용배제),Other(Indonesia origin_excluding AK FTA),1,1,,roes,1, 어란,,2017-02-24,2023-12-31,FTA세율
142,어류의 웨이스트(waste),511912000,1,어류의 웨이스트(waste)(인도네시아산_아세안 FTA 적용배제),Fish waste(Indonesia origin_excluding AK FTA),1,1,,roes,1, 어란,,2017-02-24,2023-12-31,FTA세율
143,기타,511919000,1,기타(인도네시아산_아세안 FTA 적용배제),Other(Indonesia origin_excluding AK FTA),1,1,,roes,1, 어란,,2017-02-24,2023-12-31,FTA세율
144,개의 정액,511992090,1,개의 정액,Dog Semen,,,,,,,,2014-12-02,2023-12-31,기타세번
145,오공(지네),511999090,1,오공(지네),Scolopendra,,,,,,,,2013-09-23,2023-12-31,기타세번
146,덴드로비움,603139000,1,덴드로비움,Dendrobium,,,,,,,,2014-12-02,2023-12-31,기타세번
147,기타,701900000,1,기타,Other,1,1,체형,shape,1, 칩용,,2022-01-02,2023-12-31,FTA세율
148,깐양파,703101010,1,적색깐양파,Fresh Peeled Red Onions,1,1,수평지름,Diameter,L,10cm이상,,2022-01-01,2099-12-31,저가신고
149,기타양파,703101090,1,적색양파,Fresh Red Onions,1,1,수평지름,Diameter,L,10cm이상,,2022-01-01,2099-12-31,저가신고
150,신선(냉장)깐마늘,703201000,1,깐마늘(육쪽),"Fresh Garlic, peeled (Hard stem)",1,1,개당평균중량,Weight,L,4g이상,,2007-06-15,2023-12-31,
151,신선(냉장)통마늘,703209000,1,신선마늘(육쪽),Fresh Garlic (Hard stem),1,1,개당평균크기,Diameter,L,5cm이상,,2007-06-15,2023-12-31,
152,대파,703909000,1,대파,Welsh Onion,,,,,,,,2013-09-23,2023-12-31,기타세번
153,꽂양배추,704100000,1,꽃양배추,Cauliflowers,1,1,꽃덩어리지름,size,L,13cm~16cm미만,,2007-06-15,2023-12-31,
154,양배추,704901000,1,양배추,Cabbages,1,1,개당중량,size,L,2kg초과,,2007-06-15,2023-12-31,
155,배추,704902000,1,배추,Chinese cabbage,1,1,개당중량,size,L,3kg이상,,2007-06-15,2023-12-31,
156,구경 양배추,704909000,1,구경 양배추,Kohlrabi ,,,,,,,,2014-12-02,2023-12-31,기타세번
157,라디치오,705290000,1,라디치오,Radiccho (Cichorium intybus),,,,,,,,2014-12-02,2023-12-31,기타세번
158,당근,706101000,1,당근,Fresh Carrots,1,1,개당평균중량,Weight,L,250g이상,,2007-06-15,2023-12-31,
159,우엉,706909000,1,우엉,Burdock (Arctium lappa Kalm),,,,,,,,2014-12-02,2023-12-31,기타세번
160,기타,709999000,1,기타,Other,1,1,품종,type,1, 호박[쿠쿠르비타(Cucurbita)종은 제외한다],,2022-01-02,2023-12-31,FTA세율
161,냉동콩,710220000,1,냉동강낭콩,Frozen Beans,1,1,꼬투리 제거 여부,Shelled,N,꼬투리포함,,2007-06-15,2023-12-31,
162,냉동마늘,710802000,1,냉동깐마늘(육쪽),"Frozen Garlic, peeled (Hard stem)",1,1,개당평균중량,Weight,L,4g이상,,2007-06-15,2023-12-31,
163,냉동당근,710804000,1,냉동당근(홀),Frozen carrots(whole),1,1,개당평균중량,Size,L,250g이상,,2007-07-16,2023-12-31,
164,냉동송이버섯,710806000,1,냉동송이버섯,Frozen Pine Mushrooms,1,1,송이등급,Quality,A,A등급,,2007-06-15,2023-12-31,
165,냉동고추,710807000,1,냉동고추(익도홍),Frozen Fruits of the genus Capsicum (Yidouhong),1,1,개당평균길이,Length,L,13cm이상,,2022-01-02,2023-12-31,
166,저장오이,711400000,1,저장오이(가시오이),"Cucumber, prepared or preserved (bur cucumber)",1,1,발효율,Fermentation,H,완전발효,,2007-06-15,2023-12-31,
167,일시저장마늘,711901000,1,일시저장깐마늘(육쪽),"Garlic, peeled and provisionally preserved (Hard stem)",1,1,개당평균중량,Weight,L,4g이상,,2007-06-15,2023-12-31,
168,기타,711905099,1,기타,Other,1,1,,,1, 양파 또는 케이퍼,,2017-02-24,2023-12-31,FTA세율
169,건조양파,712200000,1,건조양파 편,"Dried Onion, Sliced",,,,,,,,2022-10-01,2099-12-31,저가신고
170,마른 목이버섯(아우리쿨라리아종),712320000,1,흑목이버섯,Dried black wood ears,1,1,재배여부,Growing,N,자연산,,2007-07-16,2023-12-31,
171,건조마늘,712901000,1,건조마늘편,"Dried Garlic, sliced",1,1,수분함량,Moisture,D,8%미만,,2007-06-15,2023-12-31,
172,건고사리,712902010,1,건고사리(빠차이),Dried Bracken(arranged),1,1,개당평균길이,Length,L,15cm~20cm,,2007-06-15,2023-12-31,
173,건조무우,712902020,1,건조무우(반찬용),Dried radish for side dish,1,1,색깔,Color,W,흰색,,2007-06-15,2023-12-31,
174,건조파,712902030,1,건조파,Dried Welsh Onions,1,1,건조방법,Dried,F,동결건조,,2007-06-15,2023-12-31,
175,건조양배추,712902060,1,건조양배추(통배추),Dried cabbages(whole),1,1,개당평균직경,Size,L,15cm~20cm미만,,2007-07-16,2023-12-31,
176,건고비,712902094,1,고비,Dried Flowering Ferns,1,1,개당평균길이,Length,L,5cm~15cm,,2007-06-15,2023-12-31,
177,파슬리,712902099,1,파슬리,Parsley,,,,,,,,2013-09-23,2023-12-31,기타세번
